1 62.95	547	0	154851
1 60.24	0	0	155366
1 52.30	0	0	155461
1 59.67	0	0	155455
1 59.39	0	0	155660
2 47.69	0	0	155906
2 45.71	0	0	155445
2 47.50	0	0	154791
2 45.86	0	0	154947
2 46.88	0	0	155171
4 39.23	0	0	154497
4 38.66	0	0	154423
4 37.70	0	0	155565
4 37.38	0	0	154450
4 38.15	0	0	156585
8 36.45	0	0	155336
8 35.85	0	0	157618
8 36.41	0	0	155103
8 37.82	0	0	155266
8 37.57	0	0	154812
12 37.22	0	0	154750
12 37.23	0	0	155046
12 37.99	0	0	154049
12 37.75	0	0	155036
12 38.08	0	0	153575
16 34.55	0	0	156561
16 39.71	0	0	150355
16 33.06	0	0	154899
16 38.29	0	0	151564
16 39.23	0	0	151106
