1 38.46	0	0	155429
1 38.31	0	0	155942
1 38.13	0	0	155429
1 39.04	0	0	155942
1 38.28	0	0	155936
2 25.47	0	0	155929
2 25.60	0	0	156125
2 26.62	0	0	155945
2 27.42	0	0	155937
2 29.56	0	0	155924
3 23.28	0	0	159450
3 23.30	0	0	155915
3 23.51	0	0	161334
3 24.07	0	0	155939
3 22.89	0	0	161221
4 23.75	0	0	161903
4 23.09	0	0	161630
4 23.07	0	0	161919
4 22.69	0	0	154084
4 23.56	0	0	161503
1 29.87	0	0	154250
1 29.73	0	0	153743
1 29.70	0	0	153740
1 40.94	0	0	155943
1 41.32	0	0	154247
2 16.63	0	0	153737
2 18.68	0	0	153770
2 17.63	0	0	153735
2 18.62	0	0	153752
2 18.83	0	0	154252
3 15.67	0	0	154144
3 14.98	0	0	155527
3 14.71	0	0	156644
3 15.19	0	0	159599
3 15.20	0	0	159701
4 15.44	0	0	159472
4 1.00	0	0	7494
4 16.01	0	0	159707
4 14.59	0	0	157335
4 15.31	0	0	159202
